week_n,year,Temp,SpCond,Sal,DO_Pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor,ATemp,RH,BP,WSpd,MaxWSpd,Wdir,SDWDir,TotPAR,TotPrcp
1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.803374233128834,72.9228346456693,1014.319018404908,1.1861963190184048,NA,171.81441717791412,NA,95.64540636042403,0.05230061349693252
1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7279761904761903,73.07440476190476,1021.2410714285714,NA,NA,172.66369047619048,40.561349693251536,90.1639880952381,0.015178571428571428
1,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.074255952380953,70.71205007824726,1012.2425595238095,0.8157738095238095,2.0319940476190474,185.48065476190476,34.31845238095238,0,0.009821428571428571
1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6120535714285715,73.76041666666667,1005.5267857142857,0.8032738095238096,2.0825892857142856,177.7217261904762,39.842261904761905,82.31486013986014,0.0017857142857142857
1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9455357142857143,77.34873323397913,1010.7544642857143,0.6764880952380953,1.6976190476190476,178.625,33.767857142857146,NA,4.464285714285714e-4
1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3738095238095238,64.02723146747353,1009.9568452380952,1.199702380952381,2.836160714285714,199.45833333333334,43.0625,93.15344563552833,0.0034226190476190476
1,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.180654761904762,68.93154761904762,1016.0565476190476,0.9075892857142858,2.3779761904761907,183.25446428571428,44.34970238095238,98.8976,0.002529761904761905
1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.831994047619047,68.71428571428571,1017.6875,1.2552083333333333,2.834077380952381,174.36904761904762,33.879464285714285,103.38741573033708,0.023214285714285715
1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.360267857142857,64.01636904761905,1018.125,1.4138392857142856,3.023660714285714,174.6904761904762,27.5,90.62772727272727,NA
1,2016,1.4392857142857143,0.35175595238095236,0.17708333333333334,98.5297619047619,13.847767857142857,0.3941517857142857,0.3156994047619048,7.982291666666667,3.3720238095238093,1.005059523809524,-2.619940476190476,64.14136904761905,1020.8452380952381,0.828125,2.029613095238095,166.48065476190476,29.924107142857142,82.58422619047619,0
