date,Temp,SpCond,Sal,DO_Pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor,year,month,Frequency,ATemp,RH,BP,WSpd,MaxWSpd,Wdir,SDWDir,TotPAR,TotPrcp,season_astro
2019-11-11,4.311458333333333,0.37052083333333335,0.2,97.60104166666666,12.676041666666666,0.3227083333333333,0.2903125,7.948958333333334,1.0729166666666667,2.794791666666667,2019,11,15,5.344791666666667,71.64583333333334,1016.2395833333334,0.18958333333333335,0.8989583333333334,149.69791666666666,25.78125,100.85104166666663,0,Fall
2019-11-12,4.234375,0.37625,0.2,94.97708333333333,12.364583333333334,0.2528125,0.2807291666666667,7.948958333333334,1.4583333333333335,2.74375,2019,11,15,0.1687499999999999,74.59375,1010.2083333333334,0.5354166666666668,1.8166666666666664,186.77083333333334,35.40625,36.267708333333346,0.039583333333333345,Fall
2019-11-13,1.6020833333333333,0.3848958333333333,0.2,97.48645833333333,13.622916666666667,0.38229166666666664,0.285,8.015625,1.28125,2.76875,2019,11,15,-3.7947916666666663,50,1022.7291666666666,0.9822916666666665,2.863541666666666,182.02083333333334,48.08333333333333,130.64374999999995,0,Fall
2019-11-14,0.5531250000000001,0.3953125,0.2,99.359375,14.283333333333333,0.42072916666666665,0.2696875,8.019791666666666,1.0520833333333335,2.589583333333333,2019,11,15,-2.9020833333333336,60.416666666666664,1028.1041666666667,0.390625,1.3916666666666666,124.75,25.354166666666682,84.91145833333331,0,Fall
2019-11-15,1.3447916666666666,0.4034375,0.2,98.92395833333333,13.921875,0.3458333333333333,0.2679166666666667,8.016666666666666,1,2.375,2019,11,15,3.0447916666666663,55.197916666666664,1020.7916666666666,0.4916666666666667,1.6083333333333334,129.94791666666666,31.9375,127.34062500000003,0,Fall
2019-11-16,1.7145833333333333,0.408125,0.2,98.63333333333334,13.738541666666666,0.42614583333333333,0.2754166666666667,8.026041666666666,1.5520833333333333,2.345833333333333,2019,11,15,0.941666666666667,44.19791666666666,1028.0729166666667,0.7802083333333334,2.6802083333333333,201.17708333333331,60.95833333333333,126.48541666666668,0,Fall
2019-11-17,0.5427083333333333,0.4120833333333333,0.2,99.134375,14.259375,0.4251041666666666,0.2655208333333334,8.026041666666666,1.8645833333333335,2.4541666666666666,2019,11,15,-3.1281250000000003,52.4375,1028.9583333333333,0.2125,1.0520833333333333,157.5,34.27083333333333,67.87500000000001,0,Fall
2019-11-18,1.3458333333333334,0.41802083333333334,0.2,98.821875,13.897916666666667,0.2558333333333333,0.2554166666666667,8.044791666666667,1.6875,2.303125,2019,11,15,2.1822916666666665,77.32291666666666,1013.0416666666666,0.23229166666666665,1.2020833333333334,115.20833333333334,38.75,59.872916666666654,0.001041666666666667,Fall
2019-11-19,2.6104166666666666,0.34760416666666666,0.16666666666666669,95.909375,13.039583333333333,0.3445833333333333,0.41156250000000005,7.83125,22.9375,5.102083333333333,2019,11,15,2.35,94.14583333333333,1006.3020833333334,0.09375,0.4760416666666666,111.85416666666669,9.989583333333337,56.62604166666664,0.3197916666666666,Fall
2019-11-20,3.11875,0.27677083333333335,0.1,97.47395833333333,13.08125,0.53,0.5378125,7.65,10.48958333333333,5.588541666666667,2019,11,15,3.0458333333333334,85.34375,1012.21875,0.15416666666666665,0.7312500000000001,140.05208333333331,19.51041666666667,66.39791666666663,0,Fall
2019-11-21,3.2489583333333334,0.2834375,0.1,98.26979166666666,13.122916666666667,0.4480208333333333,0.38947916666666665,7.757291666666667,4.864583333333333,4.6375,2019,11,15,3.26875,79.08333333333334,1018.8541666666666,0.38333333333333336,0.890625,144.46875,12.291666666666664,114.70624999999995,0,Fall
2019-11-22,4.176041666666666,0.3077083333333333,0.15416666666666667,96.24270833333333,12.552083333333334,0.2786458333333333,0.3307291666666667,7.829166666666667,4.125,4.777083333333334,2019,11,15,7.23125,67.13541666666666,1007.7916666666666,1.1197916666666667,2.998958333333333,170.5104166666666,39.197916666666664,26.72916666666667,0.004166666666666665,Fall
2019-11-23,3.66875,0.33156250000000004,0.2,97.0625,12.823958333333334,0.31052083333333336,0.31427083333333333,7.871875,3.46875,4.128125,2019,11,15,2.9927083333333333,57.33333333333333,1012.625,0.8135416666666667,2.2614583333333336,180.34375,33.89583333333334,108.821875,0,Fall
2019-11-24,3.433333333333333,0.30364583333333334,0.16458333333333333,94.940625,12.628124999999999,0.2867708333333333,0.43218750000000006,7.790625,20.260416666666682,5.267708333333333,2019,11,15,3.0895833333333336,85.41666666666667,998.4583333333334,0.3052083333333333,1.3770833333333332,130.77083333333331,35.94791666666667,19.886458333333344,0.38229166666666664,Fall
2019-11-25,3.5635416666666666,0.23083333333333333,0.1,96.728125,12.823958333333334,0.55125,0.6426041666666666,7.614583333333333,17.26041666666667,5.6781250000000005,2019,11,15,4.145833333333333,80.60416666666666,1003.8645833333334,0.5270833333333333,1.3833333333333333,142.61458333333334,20.020833333333336,100.72291666666669,0,Fall
2019-11-26,4.24375,0.2552083333333333,0.1,97.9375,12.747916666666667,0.46927083333333336,0.4790625,7.728125,7.0625,4.927083333333333,2019,11,15,6.925,75.90625,1012.0208333333334,0.43541666666666656,1.6322916666666665,159.57291666666669,32.822916666666664,108.71249999999999,0,Fall
2019-11-27,4.636458333333334,0.28729166666666667,0.1,97.74375,12.603125,0.3670833333333333,0.3854166666666667,7.790625,5.395833333333334,4.877083333333333,2019,11,15,4.933333333333334,87.1875,1011.1666666666666,0.24791666666666662,0.6854166666666667,127.72916666666667,15.947916666666675,57.998958333333356,0.023958333333333352,Fall
2019-11-28,5.435416666666667,0.31052083333333336,0.17395833333333335,96.14895833333333,12.139583333333333,0.2947916666666667,0.36822916666666666,7.853125,6.65625,4.892708333333333,2019,11,15,7.186458333333333,68.52083333333334,1005.65625,1.625,3.755208333333333,208.38541666666663,36.83333333333334,44.53437500000001,0.0020833333333333333,Fall
2019-11-29,4.123958333333333,0.3259375,0.2,98.35729166666667,12.848958333333334,0.4434375,0.3539583333333333,7.951041666666667,4.708333333333334,4.094791666666667,2019,11,15,0.684375,63.29166666666667,1021.9479166666666,1.1104166666666666,3.29375,191.94791666666666,56.822916666666664,99.68437500000005,0,Fall
2019-11-30,2.379166666666667,0.3435416666666667,0.2,98.475,13.471875,0.3747916666666667,0.32625000000000004,7.95625,4.0625,3.689583333333333,2019,11,15,-1.2208333333333332,64.42708333333334,1017.8541666666666,0.253125,0.9708333333333333,113.60416666666667,33.39583333333333,107.18229166666667,0,Fall
2019-12-01,0.5291666666666668,0.35916666666666663,0.2,97.82083333333334,14.083333333333334,0.3178125,0.30864583333333334,7.952083333333333,4.40625,3.6947916666666667,2019,11.791666666666666,15,-5.044791666666667,75.23958333333334,1013.9166666666666,0.20312500000000003,1.0364583333333333,151.86458333333334,42.520833333333336,25.479166666666668,0.04479166666666666,Fall
2019-12-02,-0.1,0.37552083333333336,0.2,95.059375,13.916666666666666,0.17135416666666667,0.28458333333333335,7.910416666666666,5.447916666666667,4.028125,2019,12,15,-0.905208333333333,93.35416666666667,1001.6770833333334,0.29583333333333334,1.7364583333333334,119.36458333333333,53.13541666666668,8.69375,0.24374999999999997,Fall
2019-12-03,-0.08051948051948052,0.38493506493506496,0.2,94.54025974025974,13.845454545454546,0.17012987012987013,0.3003896103896104,7.877922077922078,5.233766233766234,3.2064935064935067,2019,12,15,-1.1354166666666667,83.19791666666667,999.6875,0.2572916666666664,0.7395833333333331,70.08333333333331,13.520833333333323,49.037500000000016,0.12083333333333333,Fall
2019-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-1.233333333333333,80.54166666666667,998.40625,0.38958333333333334,1.28125,112.34375,26.677083333333336,53.553125,0,Fall
2019-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,1.1635416666666665,79.76041666666666,1002.1145833333334,0.6031249999999999,1.675,145.32291666666669,28.0625,42.81250000000001,0,Fall
2019-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,0.09895833333333322,73.32291666666666,1014.7708333333334,0.6833333333333333,1.9364583333333334,147.0625,32.864583333333336,45.24062500000002,0.0010416666666666664,Fall
2019-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-1.3291666666666666,65.69791666666666,1023.4270833333334,0.6645833333333334,1.6479166666666667,170.8125,25.625,107.09374999999999,0.0010416666666666667,Fall
2019-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-5.820833333333333,72.83333333333334,1030.6354166666667,0.6802083333333333,1.7125000000000004,120.4375,26.10416666666668,86.67604166666669,0,Fall
2019-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,2.09375,81.46875,1018.4270833333334,0.44375,1.5791666666666666,141.89583333333334,32.16666666666667,33.58541666666668,0.18958333333333338,Fall
2019-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,8.348958333333334,92.9375,1005.2916666666666,0.8770833333333333,2.779166666666667,132.35416666666666,44.104166666666664,33.841666666666654,0.08749999999999997,Fall
2019-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,0.2760416666666664,84.38541666666666,1020.3645833333334,0.20624999999999985,0.7822916666666669,73.41666666666666,15.041666666666673,86.44270833333329,0.08437500000000006,Fall
2019-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-2.208333333333333,56.84375,1034.3333333333333,1.1437499999999998,2.34375,208.96875,26.395833333333336,97.01041666666669,0,Fall
2019-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-1.8562500000000002,75.01041666666666,1029.8229166666667,0.3208333333333334,1.0708333333333333,134.64583333333334,22.82291666666666,17.367708333333336,0.04062500000000005,Fall
2019-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,3.3104166666666672,97.64583333333333,1001.0625,0.134375,0.5604166666666667,130.10416666666669,10.947916666666668,41.81458333333334,0.30416666666666653,Fall
2019-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,6.167708333333334,58.53125,999.3854166666666,3.678125,6.496875,240.01041666666669,18.40625,47.949999999999996,0,Fall
2019-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-1.0385416666666667,65.02083333333334,1021.125,0.3916666666666668,1.0927083333333334,188.82291666666666,23.35416666666666,53.383333333333326,0,Fall
2019-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-2.0541666666666667,89.125,1013.4791666666666,0.040625000000000015,0.2197916666666667,81.32291666666667,5.489583333333331,25.583333333333332,0.12083333333333332,Fall
2019-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-1.9802083333333333,80.41666666666667,1007.1041666666666,0.9343749999999991,1.5552083333333317,74.60416666666666,3.8125,87.39895833333335,0,Fall
2019-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-6.670833333333333,51.44791666666667,1020.6875,1.4791666666666665,3.7427083333333333,234.33333333333331,41.51041666666667,98.9427083333333,0,Fall
2019-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-7.246875,59.364583333333336,1031.6041666666667,0.409375,1.3208333333333333,119.375,43.55208333333333,100.15833333333332,0,Fall
2019-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-7.9833333333333325,69.07291666666666,1035.5,0.3197916666666665,1.133333333333333,164.29166666666666,25.875,74.86249999999995,0,Winter
2019-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-3.9489583333333345,81.1875,1025.6041666666667,0.2177083333333333,0.6145833333333333,129.29166666666669,14.666666666666664,94.50520833333331,0,Winter
2019-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,0.44687500000000036,79.04166666666667,1016.9479166666666,0.25937499999999997,0.9427083333333337,135.25,22.1875,99.51250000000003,0,Winter
2019-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,4.0125,64.61458333333334,1016.5625,0.5489583333333333,1.6770833333333333,103.17708333333334,44,99.69479166666666,0,Winter
2019-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,12,15,-1.0697916666666667,72.39583333333334,1021.1770833333334,0.3239583333333333,1.05,132.08333333333334,19.8125,80.67812500000005,0,Winter
