Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
United Kingdom,2005,"Yarn; (not sewing thread), single, containing 85% or more by weight of synthetic staple fibres, n.e.c. in heading no. 5509, not put up for retail sale",Import,21162877,3468520,Weight in kilograms,3468520
United Kingdom,2005,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, containing 85% or more by weight of synthetic staple fibres, n.e.c. in heading no. 5509, not put up for retail sale",Export,36549,6395,Weight in kilograms,6395
United Kingdom,2005,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, containing 85% or more by weight of synthetic staple fibres, n.e.c. in heading no. 5509, not put up for retail sale",Import,1956460,75608,Weight in kilograms,75608
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with artificial staple fibres, not put up for retail sale",Export,773667,45282,Weight in kilograms,45282
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with artificial staple fibres, not put up for retail sale",Import,6334798,2069421,Weight in kilograms,2069421
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",Export,4241622,355180,Weight in kilograms,355180
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",Import,10385102,1154144,Weight in kilograms,1154144
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with cotton, not put up for retail sale",Export,5857,997,Weight in kilograms,997
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with cotton, not put up for retail sale",Import,5716222,1718715,Weight in kilograms,1718715
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.5, not put up for retail sale",Export,29371,2459,Weight in kilograms,2459
United Kingdom,2005,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.5, not put up for retail sale",Import,1176830,257196,Weight in kilograms,257196
United Kingdom,2005,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",Export,483459,37016,Weight in kilograms,37016
United Kingdom,2005,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",Import,4035883,677850,Weight in kilograms,677850
United Kingdom,2005,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with cotton, not put up for retail sale",Export,172946,31676,Weight in kilograms,31676
United Kingdom,2005,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with cotton, not put up for retail sale",Import,6199642,1303285,Weight in kilograms,1303285
United Kingdom,2005,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.6, not put up for retail sale",Export,16885,2052,Weight in kilograms,2052
United Kingdom,2005,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.6, not put up for retail sale",Import,2172912,315794,Weight in kilograms,315794
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with wool or fine animal hair, n.e.c. in heading no. 5509, not put up for retail sale",Export,1094,20,Weight in kilograms,20
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with wool or fine animal hair, n.e.c. in heading no. 5509, not put up for retail sale",Import,5803300,646038,Weight in kilograms,646038
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.c. in heading no. 5509, not put up for retail sale",Export,113376,25384,Weight in kilograms,25384
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.c. in heading no. 5509, not put up for retail sale",Import,34713,12519,Weight in kilograms,12519
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), n.e.c. in heading no. 5509, not put up for retail sale",Export,153781,66621,Weight in kilograms,66621
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), n.e.c. in heading no. 5509, not put up for retail sale",Import,4847396,827353,Weight in kilograms,827353
United Kingdom,2005,"Yarn; (not sewing thread), single, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale",Export,464140,67713,Weight in kilograms,67713
United Kingdom,2005,"Yarn; (not sewing thread), single, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale",Import,26309026,7679997,Weight in kilograms,7679997
United Kingdom,2005,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale",Export,262579,365776,Weight in kilograms,365776
United Kingdom,2005,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale",Import,2802964,792860,Weight in kilograms,792860
United Kingdom,2005,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",Import,109232,5629,Weight in kilograms,5629
United Kingdom,2005,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with cotton, not put up for retail sale",Import,867710,208745,Weight in kilograms,208745
United Kingdom,2005,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), not put up for retail sale",Export,103272,7357,Weight in kilograms,7357
United Kingdom,2005,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), not put up for retail sale",Import,2439851,415333,Weight in kilograms,415333
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres, put up for retail sale",Export,6217420,477505,Weight in kilograms,477505
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres, put up for retail sale",Import,8302136,1223544,Weight in kilograms,1223544
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, containing less than 85% by weight of synthetic staple fibres, put up for retail sale",Export,819050,78913,Weight in kilograms,78913
United Kingdom,2005,"Yarn; (not sewing thread), of synthetic staple fibres, containing less than 85% by weight of synthetic staple fibres, put up for retail sale",Import,3033884,450101,Weight in kilograms,450101
United Kingdom,2005,"Yarn; (not sewing thread), of artificial staple fibres, put up for retail sale",Export,163631,7885,Weight in kilograms,7885
